,city,lat_long,lat,lon,weather_json,temp,humidity,wind_speed,cloudiness
0,mys shmidta,"(86.35963611345696, -179.30446668209328)",86.35963611345696,-179.30446668209328,"{'coord': {'lon': -179.3, 'lat': 86.36}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 31.6, 'pressure': 1012.48, 'humidity': 100, 'temp_min': 31.6, 'temp_max': 31.6, 'sea_level': 1012.52, 'grnd_level': 1012.48}, 'wind': {'speed': 21.09, 'deg': 14.5013}, 'clouds': {'all': 76}, 'dt': 1529621635, 'sys': {'message': 0.0074, 'sunrise': 0, 'sunset': 0}, 'id': 0, 'name': '', 'cod': 200}",31.6,100,21.09,76
1,port keats,"(-14.09006513168886, 127.38635613845486)",-14.09006513168886,127.38635613845486,"{'coord': {'lon': 127.39, 'lat': -14.09}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 74.08, 'pressure': 1029.5, 'humidity': 100, 'temp_min': 74.08, 'temp_max': 74.08, 'sea_level': 1030.48, 'grnd_level': 1029.5}, 'wind': {'speed': 23.4, 'deg': 129.001}, 'clouds': {'all': 0}, 'dt': 1529621635, 'sys': {'message': 0.0028, 'sunrise': 1529531611, 'sunset': 1529572271}, 'id': 0, 'name': '', 'cod': 200}",74.08,100,23.4,0
2,dicabisagan,"(18.594210829707407, 126.68477156377577)",18.594210829707407,126.68477156377577,"{'coord': {'lon': 126.68, 'lat': 18.59}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 84.16, 'pressure': 1024.8, 'humidity': 100, 'temp_min': 84.16, 'temp_max': 84.16, 'sea_level': 1024.8, 'grnd_level': 1024.8}, 'wind': {'speed': 17.63, 'deg': 164.501}, 'clouds': {'all': 64}, 'dt': 1529621635, 'sys': {'message': 0.0049, 'sunrise': 1529528263, 'sunset': 1529575960}, 'id': 0, 'name': '', 'cod': 200}",84.16,100,17.63,64
3,illoqqortoormiut,"(78.54333873182773, -29.949604466665363)",78.54333873182773,-29.949604466665363,"{'coord': {'lon': -29.95, 'lat': 78.54}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 19.27, 'pressure': 818.59, 'humidity': 73, 'temp_min': 19.27, 'temp_max': 19.27, 'sea_level': 1017.95, 'grnd_level': 818.59}, 'wind': {'speed': 8.79, 'deg': 245.001}, 'clouds': {'all': 0}, 'dt': 1529621635, 'sys': {'message': 0.0031, 'sunrise': 0, 'sunset': 0}, 'id': 0, 'name': '', 'cod': 200}",19.27,73,8.79,0
4,shenjiamen,"(30.971105359699223, 124.63650123168748)",30.971105359699227,124.63650123168749,"{'coord': {'lon': 124.64, 'lat': 30.97}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 71.11, 'pressure': 1022.61, 'humidity': 100, 'temp_min': 71.11, 'temp_max': 71.11, 'sea_level': 1022.61, 'grnd_level': 1022.61}, 'wind': {'speed': 12.03, 'deg': 60.0013}, 'clouds': {'all': 64}, 'dt': 1529621636, 'sys': {'message': 0.0042, 'sunrise': 1529527115, 'sunset': 1529578087}, 'id': 0, 'name': '', 'cod': 200}",71.11,100,12.03,64
5,ushuaia,"(-87.45904071274062, -88.808866451853)",-87.45904071274063,-88.808866451853,"{'coord': {'lon': -88.81, 'lat': -87.46}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': -37.08, 'pressure': 737.93, 'humidity': 53, 'temp_min': -37.08, 'temp_max': -37.08, 'sea_level': 1046, 'grnd_level': 737.93}, 'wind': {'speed': 19.3, 'deg': 142.001}, 'clouds': {'all': 44}, 'dt': 1529621636, 'sys': {'message': 0.0035, 'sunrise': 0, 'sunset': 0}, 'id': 0, 'name': '', 'cod': 200}",-37.08,53,19.3,44
6,castro,"(-46.58679907222041, -90.58372255961213)",-46.5867990722204,-90.58372255961213,"{'coord': {'lon': -90.58, 'lat': -46.59}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 46.72, 'pressure': 1027.23, 'humidity': 96, 'temp_min': 46.72, 'temp_max': 46.72, 'sea_level': 1027.23, 'grnd_level': 1027.23}, 'wind': {'speed': 23.22, 'deg': 253.001}, 'clouds': {'all': 88}, 'dt': 1529621636, 'sys': {'message': 0.0032, 'sunrise': 1529588849, 'sunset': 1529619676}, 'id': 0, 'name': '', 'cod': 200}",46.72,96,23.22,88
7,grindavik,"(57.2751542460438, -24.74877937664172)",57.2751542460438,-24.748779376641718,"{'coord': {'lon': -24.75, 'lat': 57.28}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 51.49, 'pressure': 1039.96, 'humidity': 93, 'temp_min': 51.49, 'temp_max': 51.49, 'sea_level': 1040.04, 'grnd_level': 1039.96}, 'wind': {'speed': 26.24, 'deg': 198.501}, 'rain': {'3h': 0.4275}, 'clouds': {'all': 76}, 'dt': 1529621636, 'sys': {'message': 0.0035, 'sunrise': 1529556117, 'sunset': 1529620800}, 'id': 0, 'name': '', 'cod': 200}",51.49,93,26.24,76
8,buseresere,"(-3.0862982511564496, 32.0102559558087)",-3.0862982511564496,32.0102559558087,"{'coord': {'lon': 32.01, 'lat': -3.09}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 61.3, 'pressure': 891.79, 'humidity': 98, 'temp_min': 61.3, 'temp_max': 61.3, 'sea_level': 1028.29, 'grnd_level': 891.79}, 'wind': {'speed': 3.83, 'deg': 234.001}, 'clouds': {'all': 92}, 'dt': 1529621637, 'sys': {'message': 0.0035, 'country': 'TZ', 'sunrise': 1529553336, 'sunset': 1529596336}, 'id': 158160, 'name': 'Katoro', 'cod': 200}",61.3,98,3.83,92
9,chicama,"(-8.593573303741223, -81.6512591227701)",-8.593573303741223,-81.65125912277009,"{'coord': {'lon': -81.65, 'lat': -8.59}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 68.23, 'pressure': 1026.67, 'humidity': 100, 'temp_min': 68.23, 'temp_max': 68.23, 'sea_level': 1026.75, 'grnd_level': 1026.67}, 'wind': {'speed': 12.15, 'deg': 155.501}, 'clouds': {'all': 44}, 'dt': 1529621637, 'sys': {'message': 0.0038, 'sunrise': 1529581195, 'sunset': 1529623042}, 'id': 0, 'name': '', 'cod': 200}",68.23,100,12.15,44
